,dias,Curitiba - PR,Fortaleza - CE,Sarandi - RS,Brasília - DF,Bochum - GE
59,2023-03-01,2023-03-01 18:47:00-03:00,2023-03-01 17:51:00-03:00,2023-03-01 19:02:00-03:00,2023-03-01 18:34:00-03:00,2023-03-01 18:11:00-03:00
60,2023-03-02,2023-03-02 18:46:00-03:00,2023-03-02 17:50:00-03:00,2023-03-02 19:01:00-03:00,2023-03-02 18:33:00-03:00,2023-03-02 18:12:00-03:00
61,2023-03-03,2023-03-03 18:45:00-03:00,2023-03-03 17:50:00-03:00,2023-03-03 19:00:00-03:00,2023-03-03 18:33:00-03:00,2023-03-03 18:14:00-03:00
62,2023-03-04,2023-03-04 18:44:00-03:00,2023-03-04 17:50:00-03:00,2023-03-04 18:59:00-03:00,2023-03-04 18:32:00-03:00,2023-03-04 18:16:00-03:00
63,2023-03-05,2023-03-05 18:43:00-03:00,2023-03-05 17:49:00-03:00,2023-03-05 18:58:00-03:00,2023-03-05 18:32:00-03:00,2023-03-05 18:17:00-03:00
64,2023-03-06,2023-03-06 18:42:00-03:00,2023-03-06 17:49:00-03:00,2023-03-06 18:57:00-03:00,2023-03-06 18:31:00-03:00,2023-03-06 18:19:00-03:00
65,2023-03-07,2023-03-07 18:41:00-03:00,2023-03-07 17:49:00-03:00,2023-03-07 18:56:00-03:00,2023-03-07 18:30:00-03:00,2023-03-07 18:21:00-03:00
66,2023-03-08,2023-03-08 18:40:00-03:00,2023-03-08 17:48:00-03:00,2023-03-08 18:55:00-03:00,2023-03-08 18:30:00-03:00,2023-03-08 18:23:00-03:00
67,2023-03-09,2023-03-09 18:39:00-03:00,2023-03-09 17:48:00-03:00,2023-03-09 18:54:00-03:00,2023-03-09 18:29:00-03:00,2023-03-09 18:24:00-03:00
68,2023-03-10,2023-03-10 18:38:00-03:00,2023-03-10 17:48:00-03:00,2023-03-10 18:52:00-03:00,2023-03-10 18:28:00-03:00,2023-03-10 18:26:00-03:00
69,2023-03-11,2023-03-11 18:37:00-03:00,2023-03-11 17:47:00-03:00,2023-03-11 18:51:00-03:00,2023-03-11 18:27:00-03:00,2023-03-11 18:28:00-03:00
70,2023-03-12,2023-03-12 18:36:00-03:00,2023-03-12 17:47:00-03:00,2023-03-12 18:50:00-03:00,2023-03-12 18:27:00-03:00,2023-03-12 18:30:00-03:00
71,2023-03-13,2023-03-13 18:35:00-03:00,2023-03-13 17:47:00-03:00,2023-03-13 18:49:00-03:00,2023-03-13 18:26:00-03:00,2023-03-13 18:31:00-03:00
72,2023-03-14,2023-03-14 18:34:00-03:00,2023-03-14 17:46:00-03:00,2023-03-14 18:48:00-03:00,2023-03-14 18:25:00-03:00,2023-03-14 18:33:00-03:00
73,2023-03-15,2023-03-15 18:33:00-03:00,2023-03-15 17:46:00-03:00,2023-03-15 18:47:00-03:00,2023-03-15 18:25:00-03:00,2023-03-15 18:35:00-03:00
74,2023-03-16,2023-03-16 18:32:00-03:00,2023-03-16 17:46:00-03:00,2023-03-16 18:46:00-03:00,2023-03-16 18:24:00-03:00,2023-03-16 18:36:00-03:00
75,2023-03-17,2023-03-17 18:31:00-03:00,2023-03-17 17:45:00-03:00,2023-03-17 18:45:00-03:00,2023-03-17 18:23:00-03:00,2023-03-17 18:38:00-03:00
76,2023-03-18,2023-03-18 18:30:00-03:00,2023-03-18 17:45:00-03:00,2023-03-18 18:44:00-03:00,2023-03-18 18:22:00-03:00,2023-03-18 18:40:00-03:00
77,2023-03-19,2023-03-19 18:29:00-03:00,2023-03-19 17:44:00-03:00,2023-03-19 18:42:00-03:00,2023-03-19 18:22:00-03:00,2023-03-19 18:41:00-03:00
78,2023-03-20,2023-03-20 18:28:00-03:00,2023-03-20 17:44:00-03:00,2023-03-20 18:41:00-03:00,2023-03-20 18:21:00-03:00,2023-03-20 18:43:00-03:00
79,2023-03-21,2023-03-21 18:27:00-03:00,2023-03-21 17:44:00-03:00,2023-03-21 18:40:00-03:00,2023-03-21 18:20:00-03:00,2023-03-21 18:45:00-03:00
80,2023-03-22,2023-03-22 18:26:00-03:00,2023-03-22 17:43:00-03:00,2023-03-22 18:39:00-03:00,2023-03-22 18:19:00-03:00,2023-03-22 18:46:00-03:00
81,2023-03-23,2023-03-23 18:25:00-03:00,2023-03-23 17:43:00-03:00,2023-03-23 18:38:00-03:00,2023-03-23 18:19:00-03:00,2023-03-23 18:48:00-03:00
82,2023-03-24,2023-03-24 18:24:00-03:00,2023-03-24 17:42:00-03:00,2023-03-24 18:37:00-03:00,2023-03-24 18:18:00-03:00,2023-03-24 18:50:00-03:00
83,2023-03-25,2023-03-25 18:23:00-03:00,2023-03-25 17:42:00-03:00,2023-03-25 18:36:00-03:00,2023-03-25 18:17:00-03:00,2023-03-25 18:51:00-03:00
84,2023-03-26,2023-03-26 18:21:00-03:00,2023-03-26 17:42:00-03:00,2023-03-26 18:35:00-03:00,2023-03-26 18:17:00-03:00,2023-03-26 18:53:00-03:00
85,2023-03-27,2023-03-27 18:20:00-03:00,2023-03-27 17:41:00-03:00,2023-03-27 18:34:00-03:00,2023-03-27 18:16:00-03:00,2023-03-27 18:55:00-03:00
86,2023-03-28,2023-03-28 18:19:00-03:00,2023-03-28 17:41:00-03:00,2023-03-28 18:32:00-03:00,2023-03-28 18:15:00-03:00,2023-03-28 18:56:00-03:00
87,2023-03-29,2023-03-29 18:18:00-03:00,2023-03-29 17:40:00-03:00,2023-03-29 18:31:00-03:00,2023-03-29 18:14:00-03:00,2023-03-29 18:58:00-03:00
88,2023-03-30,2023-03-30 18:17:00-03:00,2023-03-30 17:40:00-03:00,2023-03-30 18:30:00-03:00,2023-03-30 18:14:00-03:00,2023-03-30 19:00:00-03:00
89,2023-03-31,2023-03-31 18:16:00-03:00,2023-03-31 17:40:00-03:00,2023-03-31 18:29:00-03:00,2023-03-31 18:13:00-03:00,2023-03-31 19:01:00-03:00
90,2023-04-01,2023-04-01 18:15:00-03:00,2023-04-01 17:39:00-03:00,2023-04-01 18:28:00-03:00,2023-04-01 18:12:00-03:00,2023-04-01 19:03:00-03:00
91,2023-04-02,2023-04-02 18:14:00-03:00,2023-04-02 17:39:00-03:00,2023-04-02 18:27:00-03:00,2023-04-02 18:11:00-03:00,2023-04-02 19:05:00-03:00
92,2023-04-03,2023-04-03 18:13:00-03:00,2023-04-03 17:39:00-03:00,2023-04-03 18:26:00-03:00,2023-04-03 18:11:00-03:00,2023-04-03 19:06:00-03:00
93,2023-04-04,2023-04-04 18:12:00-03:00,2023-04-04 17:38:00-03:00,2023-04-04 18:25:00-03:00,2023-04-04 18:10:00-03:00,2023-04-04 19:08:00-03:00
94,2023-04-05,2023-04-05 18:11:00-03:00,2023-04-05 17:38:00-03:00,2023-04-05 18:24:00-03:00,2023-04-05 18:09:00-03:00,2023-04-05 19:10:00-03:00
95,2023-04-06,2023-04-06 18:10:00-03:00,2023-04-06 17:37:00-03:00,2023-04-06 18:22:00-03:00,2023-04-06 18:09:00-03:00,2023-04-06 19:11:00-03:00
96,2023-04-07,2023-04-07 18:09:00-03:00,2023-04-07 17:37:00-03:00,2023-04-07 18:21:00-03:00,2023-04-07 18:08:00-03:00,2023-04-07 19:13:00-03:00
97,2023-04-08,2023-04-08 18:08:00-03:00,2023-04-08 17:37:00-03:00,2023-04-08 18:20:00-03:00,2023-04-08 18:07:00-03:00,2023-04-08 19:15:00-03:00
98,2023-04-09,2023-04-09 18:07:00-03:00,2023-04-09 17:36:00-03:00,2023-04-09 18:19:00-03:00,2023-04-09 18:06:00-03:00,2023-04-09 19:16:00-03:00
